County	Cases
Abbeville.	366
Aiken.	2155
Allendale.	255
Anderson.	2667
what about Marion.	592
what about Marlboro.	590
what about McCormick.	147
maximum cases of covid 19 in which county.	charleston 12956
Bamberg.	493
count of Beaufort.	4397
count of Berkeley.	4489
count of Calhoun.	396
What is the status of Chester.	758
Tell me covid-19 cases of Greenville.	11327
Tell me covid-19 cases of Greenwood.	1571
Tell me covid-19 cases of Hampton.	482
Tell me covid-19 cases of Cherokee.	728
Tell me covid-19 cases of Chester.	758
cases in Marion.	592
cases in Marlboro.	590
cases in McCormick.	147
Tell me covid-19 cases of Horry.	8926
Tell me covid-19 cases of Jasper.	641
Tell me covid-19 cases of Kershaw.	1457
Tell me covid-19 cases of Lancaster.	1405
Ssup man!! Give me status of Chesterfield covid-19 cases.	841
Ssup man!! Give me status of Clarendon covid-19 cases.	911
Tell me covid-19 cases of Laurens.	1386
Tell me covid-19 cases of Lee.	588
Tell me covid-19 cases of Lexington.	5277
Tell me covid-19 cases of Marion.	592
Barnwell.	469
Beaufort.	4397
Berkeley.	4489
Calhoun.	396
Charleston.	12956
Hampton.	482
Horry.	8926
Jasper.	641
Kershaw.	1457
Lancaster.	1405
Laurens.	1386
Lee.	588
Lexington.	5277
Marion.	592
Marlboro.	590
McCormick.	147
Newberry.	901
Oconee.	890
cases in Bamberg.	493
cases in Barnwell.	469
cases in Beaufort.	4397
cases in Berkeley.	4489
Orangeburg.	2611
Pickens.	1942
Richland.	9468
Saluda.	494
cases in Calhoun.	396
cases in Charleston.	12956
cases in Cherokee.	728
cases in Chester.	758
cases in Chesterfield.	841
cases in Clarendon.	911
Cherokee.	728
Georgetown.	1556
Greenville.	11327
Greenwood.	1571
cases in Colleton.	852
cases in Darlington.	1463
cases in Dillon.	684
cases in Dorchester.	3300
cases in Edgefield.	371
Chester.	758
Chesterfield.	841
Clarendon.	911
Colleton.	852
Darlington.	1463
Dillon.	684
Dorchester.	3300
Edgefield.	371
Fairfield.	589
Florence.	3816
cases in Fairfield.	589
cases in Florence.	3816
cases in Georgetown.	1556
Spartanburg.	4469
Sumter.	2648
Union.	407
Williamsburg.	1093
York.	3848
cases in Kershaw.	1457
cases in Abbeville.	366
cases in Aiken.	2155
cases in Allendale.	255
cases in Anderson.	2667
cases in Greenville.	11327
cases in Greenwood.	1571
cases in Hampton.	482
cases in Horry.	8926
cases in Jasper.	641
cases in Kershaw.	1457
cases in Lancaster.	1405
cases in Laurens.	1386
cases in Lee.	588
cases in Lexington.	5277
Tell me covid-19 cases of Bamberg.	493
Tell me covid-19 cases of Barnwell.	469
Tell me covid-19 cases of Beaufort.	4397
Tell me covid-19 cases of Berkeley.	4489
Tell me covid-19 cases of Calhoun.	396
Tell me covid-19 cases of Charleston.	12956
cases in Newberry.	901
cases in Oconee.	890
cases in Orangeburg.	2611
cases in Pickens.	1942
cases in Richland.	9468
cases in Saluda.	494
cases in Spartanburg.	4469
cases in Sumter.	2648
cases in Union.	407
cases in Williamsburg.	1093
cases in York.	3848
Tell me covid-19 cases of Lancaster.	1405
Tell me covid-19 cases of Abbeville.	366
Tell me covid-19 cases of Aiken.	2155
Tell me covid-19 cases of Allendale.	255
Tell me covid-19 cases of Anderson.	2667
Tell me covid-19 cases of Chesterfield.	841
Tell me covid-19 cases of Clarendon.	911
highest number of pandemic count is in county of	charleston 12956
Tell me covid-19 cases of Colleton.	852
Tell me covid-19 cases of Darlington.	1463
Tell me covid-19 cases of Dillon.	684
Tell me covid-19 cases of Dorchester.	3300
Tell me covid-19 cases of Edgefield.	371
Tell me covid-19 cases of Saluda.	494
Tell me covid-19 cases of Spartanburg.	4469
Tell me covid-19 cases of Sumter.	2648
Tell me covid-19 cases of Union.	407
Tell me covid-19 cases of Williamsburg.	1093
Tell me covid-19 cases of York.	3848
count of Laurens.	1386
count of Abbeville.	366
count of Aiken.	2155
count of Allendale.	255
where is the highest cases of covid.	charleston 12956
count of Anderson.	2667
count of Bamberg.	493
count of Barnwell.	469
What is the status of Chesterfield.	841
What is the status of Clarendon.	911
What is the status of Colleton.	852
What is the status of Darlington.	1463
What is the status of Dillon.	684
highest cases	charleston 12956
What is the status of Dorchester.	3300
What is the status of Edgefield.	371
What is the status of Fairfield.	589
What is the status of Florence.	3816
What is the status of Georgetown.	1556
What is the status of Greenville.	11327
What is the status of Newberry.	901
count of Charleston.	12956
count of Cherokee.	728
count of Chester.	758
count of Chesterfield.	841
count of Clarendon.	911
count of Colleton.	852
count of Darlington.	1463
count of Dillon.	684
count of Dorchester.	3300
Tell me covid-19 cases of Fairfield.	589
Tell me covid-19 cases of Florence.	3816
Tell me covid-19 cases of Georgetown.	1556
Tell me covid-19 cases of Marlboro.	590
very less cases	McCormick
Tell me covid-19 cases of McCormick.	147
Tell me covid-19 cases of Newberry.	901
Tell me covid-19 cases of Oconee.	890
Tell me covid-19 cases of Orangeburg.	2611
Tell me covid-19 cases of Pickens.	1942
Tell me covid-19 cases of Richland.	9468
count of Edgefield.	371
count of Fairfield.	589
count of Florence.	3816
count of Georgetown.	1556
count of Greenville.	11327
count of Greenwood.	1571
count of Newberry.	901
count of Oconee.	890
low number of pandemic cases are.	McCormick
count of Orangeburg.	2611
count of Pickens.	1942
count of Richland.	9468
count of Saluda.	494
count of Spartanburg.	4469
count of Sumter.	2648
count of Union.	407
count of Williamsburg.	1093
count of York.	3848
What is the status of York?	3848
What is the status of Abbeville.	366
What is the status of Aiken.	2155
What is the status of Allendale.	255
What is the status of Anderson.	2667
What is the status of Bamberg.	493
What is the status of Barnwell.	469
count of Hampton.	482
count of Horry.	8926
count of Jasper.	641
count of Kershaw.	1457
count of Lancaster.	1405
count of Laurens.	1386
count of Lee.	588
count of Lexington.	5277
count of Marion.	592
count of Marlboro.	590
count of McCormick.	147
What is the status of Beaufort.	4397
What is the status of Berkeley.	4489
What is the status of Calhoun.	396
What is the status of Charleston.	12956
What is the status of Cherokee.	728
What is the status of Oconee.	890
What is the status of Orangeburg.	2611
What is the status of Pickens.	1942
What is the status of Richland.	9468
What is the status of Saluda.	494
What is the status of Spartanburg.	4469
What is the status of Sumter.	2648
What is the status of Union.	407
What is the status of Williamsburg.	1093
what about Marlboro.	590
what about Abbeville.	366
what about Aiken.	2155
what about Allendale.	255
what about Anderson.	2667
what about Bamberg.	493
what about Barnwell.	469
what about Beaufort.	4397
what about Berkeley.	4489
What is the status of Greenwood.	1571
What is the status of Hampton.	482
What is the status of Horry.	8926
What is the status of Jasper.	641
What is the status of Kershaw.	1457
What is the status of Lancaster.	1405
What is the status of Laurens.	1386
What is the status of Lee.	588
What is the status of Lexington.	5277
What is the status of Marion.	592
What is the status of Marlboro.	590
What is the status of McCormick.	147
what about Calhoun.	396
what about Charleston.	12956
what about Cherokee.	728
what about Chester.	758
what about Chesterfield.	841
what about Orangeburg.	2611
what about Pickens.	1942
what about Richland.	9468
what about Saluda.	494
what about Spartanburg.	4469
what about Sumter.	2648
what about Union.	407
what about Williamsburg.	1093
what about York.	3848
How is McCormick?	147
How is Abbeville?	366
How is Aiken?	2155
How is Allendale?	255
How is Anderson?	2667
How is Bamberg?	493
what about Fairfield.	589
what about Florence.	3816
what about Georgetown.	1556
what about Greenville.	11327
what about Greenwood.	1571
what about Hampton.	482
How is Union?	407
How is Williamsburg?	1093
How is York?	3848
Abbeville count is.	366
Aiken count is.	2155
Allendale count is.	255
Anderson count is.	2667
Bamberg count is.	493
Barnwell count is.	469
How is Horry?	8926
How is Jasper?	641
what about Horry.	8926
what about Jasper.	641
what about Kershaw.	1457
what about Lancaster.	1405
what about Laurens.	1386
what about Lee.	588
How is Barnwell?	469
How is Beaufort?	4397
How is Berkeley?	4489
How is Calhoun?	396
How is Charleston?	12956
How is Cherokee?	728
How is Chester?	758
How is Chesterfield?	841
How is Clarendon?	911
How is Colleton?	852
How is Darlington?	1463
How is Dillon?	684
How is Dorchester?	3300
How is Edgefield?	371
most number of cases.	charleston 12956
How is Fairfield?	589
How is Florence?	3816
How is Georgetown?	1556
How is Greenville?	11327
How is Greenwood?	1571
How is Hampton?	482
How is Pickens?	1942
How is Richland?	9468
How is Saluda?	494
How is Spartanburg?	4469
where are the maximum count	charleston 12956
what about Clarendon.	911
what about Colleton.	852
what about Darlington.	1463
least number cases.	McCormick
what about Dillon.	684
what about Dorchester.	3300
what about Edgefield.	371
what about Lexington.	5277
what about Marion.	592
what about Marlboro.	590
what about McCormick.	147
maximum cases of covid 19 in which county.	charleston 12956
what about Newberry.	901
what about Oconee.	890
How is Sumter?	2648
How is Kershaw?	1457
maximum cases of covid 19 in which county.	charleston 12956
How is Lancaster?	1405
How is Laurens?	1386
How is Lee?	588
How is Lexington?	5277
How is Marion?	592
How is Marlboro?	590
How is McCormick?	147
How is Newberry?	901
How is Oconee?	890
How is Orangeburg?	2611
Beaufort count is.	4397
Berkeley count is.	4489
Calhoun count is.	396
Charleston count is.	12956
Cherokee count is.	728
Chester count is.	758
Chesterfield count is.	841
Clarendon count is.	911
Hey man how is Cherokee doing?	728
least cases.	McCormick
Hey man how is Chester doing?	758
Hey man how is Chesterfield doing?	841
Hey man how is Clarendon doing?	911
Hey man how is Georgetown doing?	1556
Hey man how is Greenville doing?	11327
Hey man how is Greenwood doing?	1571
Hey man how is Hampton doing?	482
Hey man how is Horry doing?	8926
Hey man how is Jasper doing?	641
Colleton count is.	852
Darlington count is.	1463
most covid cases.	charleston 12956
Dillon count is.	684
Hey man how is Colleton doing?	852
Hey man how is Darlington doing?	1463
ekdum least cases are in which county.	McCormick
Hey man how is Dillon doing?	684
Hey man how is Dorchester doing?	3300
Hey man how is Edgefield doing?	371
Hey man how is Fairfield doing?	589
Hey man how is Florence doing?	3816
maximum cases of covid 19 in which county.	charleston 12956
Dorchester count is.	3300
Edgefield count is.	371
Fairfield count is.	589
Florence count is.	3816
Georgetown count is.	1556
lowest cases of covid.	McCormick
Greenville count is.	11327
maximum cases of covid 19 in which county.	charleston 12956
Greenwood count is.	1571
Hampton count is.	482
Pickens count is.	1942
Richland count is.	9468
Saluda count is.	494
Spartanburg count is.	4469
maximum cases of covid 19 in which county.	charleston 12956
Sumter count is.	2648
Union count is.	407
Williamsburg count is.	1093
York count is.	3848
Hey man how is Abbeville doing?	366
Hey man how is Aiken doing?	2155
Hey man how is Allendale doing?	255
Hey man how is Anderson doing?	2667
Hey man how is Bamberg doing?	493
Hey man how is Barnwell doing?	469
Hey man how is Beaufort doing?	4397
Hey man how is Berkeley doing?	4489
Hey man how is Calhoun doing?	396
Hey man how is Charleston doing?	12956
Hey man how is Kershaw doing?	1457
Hey man how is Lancaster doing?	1405
highest amount of cases.	charleston 12956
Hey man how is Newberry doing?	901
Hey man how is Oconee doing?	890
Hey man how is Orangeburg doing?	2611
Hey man how is Pickens doing?	1942
Hey man how is Richland doing?	9468
Hey man how is Saluda doing?	494
Hey man how is Spartanburg doing?	4469
Hey man how is Sumter doing?	2648
Hey man how is Union doing?	407
Hey man how is Williamsburg doing?	1093
Hey man how is York doing?	3848
Hello. Tell me the cases count of Allendale.	255
Hello. Tell me the cases count of Abbeville.	366
Hello. Tell me the cases count of Aiken.	2155
Hello. Tell me the cases count of Allendale.	255
Hey man how is Laurens doing?	1386
Hey man how is Lee doing?	588
Hey man how is Lexington doing?	5277
lowest cases in which county.	McCormick
county with least amount of cases.	McCormick
minimum number of cases.	McCormick
least count in which county.	McCormick
county with minimum number of covid count of the cases.	McCormick
Hey man how is Marion doing?	592
Yo bro! Tell me status of Lexington.	5277
Yo bro! Tell me status of Marion.	592
Yo bro! Tell me status of Marlboro.	590
Yo bro! Tell me status of McCormick.	147
Yo bro! Tell me status of Newberry.	901
Yo bro! Tell me status of Oconee.	890
Hey man how is Marlboro doing?	590
Hey man how is McCormick doing?	147
Hello. Tell me the cases count of Anderson.	2667
Hello. Tell me the cases count of Bamberg.	493
Ssup man!! Give me status of Jasper covid-19 cases.	641
Ssup man!! Give me status of Kershaw covid-19 cases.	1457
Ssup man!! Give me status of Lancaster covid-19 cases.	1405
Ssup man!! Give me status of Laurens covid-19 cases.	1386
Hello. Tell me the cases count of Barnwell.	469
Hello. Tell me the cases count of Beaufort.	4397
Hello. Tell me the cases count of Berkeley.	4489
where is the maximum case of this pandemic.	charleston 12956
tell me where is the overwhelming cases.	charleston 12956
county with most number of pandemic count.	charleston 12956
Hello. Tell me the cases count of Calhoun.	396
Ssup man!! Give me status of Hampton covid-19 cases.	482
Ssup man!! Give me status of Horry covid-19 cases.	8926
Ssup man!! Give me status of Lee covid-19 cases.	588
Horry count is.	8926
Jasper count is.	641
Kershaw count is.	1457
Lancaster count is.	1405
Laurens count is.	1386
Lee count is.	588
Lexington count is.	5277
Marion count is.	592
Marlboro count is.	590
where is the maximum case of this pandemic.	charleston 12956
tell me where is the overwhelming cases.	charleston 12956
county with most number of pandemic count.	charleston 12956
McCormick count is.	147
Newberry count is.	901
Oconee count is.	890
Orangeburg count is.	2611
Ssup man!! Give me status of Lexington covid-19 cases.	5277
county with less cases.	McCormick
county with least number of covid count of the cases.	McCormick
Ssup man!! Give me status of Marion covid-19 cases.	592
Ssup man!! Give me status of Marlboro covid-19 cases.	590
Ssup man!! Give me status of McCormick covid-19 cases.	147
Ssup man!! Give me status of Union covid-19 cases.	407
Ssup man!! Give me status of Williamsburg covid-19 cases.	1093
Ssup man!! Give me status of York covid-19 cases.	3848
Hello. Tell me the cases count of Charleston.	12956
Hello. Tell me the cases count of Cherokee.	728
Hello. Tell me the cases count of Chester.	758
Hello. Tell me the cases count of Chesterfield.	841
low cases.	McCormick
Hello. Tell me the cases count of Clarendon.	911
Hello. Tell me the cases count of Colleton.	852
where is the maximum case of this pandemic.	charleston 12956
tell me where is the overwhelming cases.	charleston 12956
county with most number of pandemic count.	charleston 12956
Hello. Tell me the cases count of Darlington.	1463
tell me where is the highest count.	charleston 12956
Hello. Tell me the cases count of Dillon.	684
Ssup man!! Give me status of Newberry covid-19 cases.	901
Ssup man!! Give me status of Oconee covid-19 cases.	890
Ssup man!! Give me status of Orangeburg covid-19 cases.	2611
Ssup man!! Give me status of Pickens covid-19 cases.	1942
Ssup man!! Give me status of Richland covid-19 cases.	9468
Ssup man!! Give me status of Saluda covid-19 cases.	494
Ssup man!! Give me status of Spartanburg covid-19 cases.	4469
Ssup man!! Give me status of Sumter covid-19 cases.	2648
Hello. Tell me the cases count of Dorchester.	3300
Hello. Tell me the cases count of Edgefield.	371
Hello. Tell me the cases count of Fairfield.	589
Hello. Tell me the cases count of Florence.	3816
high cases.	charleston 12956
Hello. Tell me the cases count of Georgetown.	1556
Hello. Tell me the cases count of Greenville.	11327
Hello. Tell me the cases count of Lancaster.	1405
Hello. Tell me the cases count of Laurens.	1386
Hello. Tell me the cases count of Lee.	588
most cases of covid are in county.	charleston 12956
Hello. Tell me the cases count of Lexington.	5277
Hello. Tell me the cases count of Marion.	592
Hello. Tell me the cases count of Marlboro.	590
Yo bro! Tell me status of Berkeley.	4489
Yo bro! Tell me status of Calhoun.	396
Yo bro! Tell me status of Charleston.	12956
lowest cases in which county.	McCormick
county with least amount of cases.	McCormick
minimum number of cases.	McCormick
least count in which county.	McCormick
county with minimum number of covid count of the cases.	McCormick
Yo bro! Tell me status of Cherokee.	728
Yo bro! Tell me status of Chester.	758
Yo bro! Tell me status of Chesterfield.	841
Yo bro! Tell me status of Clarendon.	911
low cases.	McCormick
Hello. Tell me the cases count of Greenwood.	1571
Hello. Tell me the cases count of Hampton.	482
Hello. Tell me the cases count of Horry.	8926
Hello. Tell me the cases count of Jasper.	641
most cases are in which county.	charleston 12956
Hello. Tell me the cases count of Kershaw.	1457
Yo bro! Tell me status of Colleton.	852
Yo bro! Tell me status of Darlington.	1463
Yo bro! Tell me status of Dillon.	684
Yo bro! Tell me status of Dorchester.	3300
Yo bro! Tell me status of Edgefield.	371
where is the maximum case of this pandemic.	charleston 12956
tell me where is the overwhelming cases.	charleston 12956
county with most number of pandemic count.	charleston 12956
greatest cases are in which county.	charleston 12956
Yo bro! Tell me status of Fairfield.	589
Yo bro! Tell me status of Florence.	3816
Yo bro! Tell me status of Georgetown.	1556
Yo bro! Tell me status of Greenville.	11327
minimum covid cases	McCormick
Yo bro! Tell me status of Greenwood.	1571
Yo bro! Tell me status of Hampton.	482
Yo bro! Tell me status of Horry.	8926
Yo bro! Tell me status of Jasper.	641
Ssup man!! Give me status of Barnwell covid-19 cases.	469
Ssup man!! Give me status of Beaufort covid-19 cases.	4397
maximum covid cases.	charleston 12956
Ssup man!! Give me status of Berkeley covid-19 cases.	4489
Ssup man!! Give me status of Calhoun covid-19 cases.	396
Ssup man!! Give me status of Charleston covid-19 cases.	12956
Hello. Tell me the cases count of McCormick.	147
Hello. Tell me the cases count of Newberry.	901
Hello. Tell me the cases count of Oconee.	890
Yo bro! Tell me status of Kershaw.	1457
greatest number of covid cases.	charleston 12956
maximum number of covid count.	charleston 12956
Yo bro! Tell me status of Lancaster.	1405
Yo bro! Tell me status of Laurens.	1386
Yo bro! Tell me status of Lee.	588
Yo bro! Tell me status of Orangeburg.	2611
maximum count.	charleston 12956
overwhelming number is in which county.	charleston 12956
maximum number of pandemic cases count.	charleston 12956
Yo bro! Tell me status of Pickens.	1942
Yo bro! Tell me status of Richland.	9468
Yo bro! Tell me status of Saluda.	494
maximum covid cases are in which county.	charleston 12956
Yo bro! Tell me status of Spartanburg.	4469
Yo bro! Tell me status of Sumter.	2648
Yo bro! Tell me status of Union.	407
Yo bro! Tell me status of Williamsburg.	1093
Yo bro! Tell me status of York.	3848
Ssup man!! Give me status of Georgetown covid-19 cases.	1556
Ssup man!! Give me status of Abbeville covid-19 cases.	366
Ssup man!! Give me status of Aiken covid-19 cases.	2155
Ssup man!! Give me status of Allendale covid-19 cases.	255
Ssup man!! Give me status of Anderson covid-19 cases.	2667
Ssup man!! Give me status of Bamberg covid-19 cases.	493
Hello. Tell me the cases count of Orangeburg.	2611
Hello. Tell me the cases count of Pickens.	1942
least covid cases.	McCormick
Hello. Tell me the cases count of Richland.	9468
Hello. Tell me the cases count of Saluda.	494
county with more number of covid count of the cases.	charleston 12956
Hello. Tell me the cases count of Spartanburg.	4469
Hello. Tell me the cases count of Sumter.	2648
Hello. Tell me the cases count of Union.	407
Hello. Tell me the cases count of Williamsburg.	1093
Hello. Tell me the cases count of York.	3848
Yo bro! Tell me status of Florence.	3816
most cases.	charleston 12956
Yo bro! Tell me status of Abbeville.	366
most covid cases.	charleston 12956
Yo bro! Tell me status of Aiken.	2155
county with more number of covid count of the cases.	charleston 12956
Yo bro! Tell me status of Allendale.	255
Yo bro! Tell me status of Anderson.	2667
Yo bro! Tell me status of Bamberg.	493
lowest cases in which county.	McCormick
county with least amount of cases.	McCormick
minimum number of cases.	McCormick
least count in which county.	McCormick
county with minimum number of covid count of the cases.	McCormick
Yo bro! Tell me status of Barnwell.	469
Yo bro! Tell me status of Beaufort.	4397
Ssup man!! Give me status of Cherokee covid-19 cases.	728
Ssup man!! Give me status of Chester covid-19 cases.	758
Ssup man!! Give me status of Florence covid-19 cases.	3816
county with more number of covid count of the cases.	charleston 12956
Ssup man!! Give me status of Georgetown covid-19 cases.	1556
Ssup man!! Give me status of Greenville covid-19 cases.	11327
Ssup man!! Give me status of Greenwood covid-19 cases.	1571
highest cases.	charleston 12956
most number of cases.	charleston 12956
Ssup man!! Give me status of Colleton covid-19 cases.	852
Ssup man!! Give me status of Darlington covid-19 cases.	1463
Ssup man!! Give me status of Dillon covid-19 cases.	684
Ssup man!! Give me status of Dorchester covid-19 cases.	3300
Ssup man!! Give me status of Edgefield covid-19 cases.	371
Ssup man!! Give me status of Fairfield covid-19 cases.	589
county with more number of covid count of the cases.	charleston 12956
most covid pandemic cases.	charleston 12956
low cases count.	McCormick
county with most covid cases.	charleston 12956
least cases.	McCormick
